Date,Rate Per Mile,Gasoline - All Grades,Avo Average Price,Temp (F)
2015-01-05,,2.3080000000000003,0.95,58.37916666666666
2015-01-12,,2.2319999999999998,1.01,60.339629629629634
2015-01-19,,2.157,1.03,58.18833333333333
2015-01-26,,2.133,1.04,64.72375000000001
2015-02-02,,2.154,0.89,60.62833333333334
2015-02-09,,2.276,0.95,63.02166666666667
2015-02-16,,2.358,1.03,60.68719999999999
2015-02-23,,2.415,1.02,59.27958333333334
2015-03-02,,2.556,0.97,54.535
2015-03-09,,2.57,1.02,60.67541666666668
2015-03-16,,2.537,1.04,74.71166666666666
2015-03-23,,2.5380000000000003,1.01,62.155
2015-03-30,,2.531,1.04,64.10666666666664
2015-04-06,,2.499,1.06,61.5225
2015-04-13,,2.494,1.02,63.51041666666668
2015-04-20,,2.57,1.03,62.79541666666666
2015-04-27,,2.656,1.07,65.38083333333333
2015-05-04,,2.7489999999999997,0.96,63.63000000000002
2015-05-11,2.663333333333333,2.7760000000000002,1.02,63.3475
2015-05-18,2.672222222222222,2.827,1.06,61.84791666666667
2015-05-25,2.661111111111111,2.8569999999999998,1.04,62.74166666666667
2015-06-01,2.731111111111111,2.863,1.03,64.77708333333334
2015-06-08,2.7411111111111115,2.863,1.0,67.38416666666667
2015-06-15,2.782222222222222,2.918,0.98,66.75541666666668
2015-06-22,2.89,2.895,1.02,69.66791666666667
2015-06-29,2.843333333333334,2.885,1.06,70.78333333333333
2015-07-06,2.847777777777778,2.877,1.04,67.49000000000001
2015-07-13,2.807777777777778,2.92,1.07,69.84541666666665
2015-07-20,2.755555555555556,2.888,1.07,74.45000000000002
2015-07-27,2.77,2.833,1.07,69.90625000000001
2015-08-03,2.67,2.779,1.09,71.84791666666666
2015-08-10,2.6411111111111114,2.72,1.05,69.66916666666667
2015-08-17,2.6422222222222222,2.803,1.05,74.47249999999998
2015-08-24,2.561111111111111,2.7260000000000004,1.08,71.35125
2015-08-31,2.576666666666666,2.602,1.07,71.69000000000003
2015-09-07,2.576666666666666,2.532,1.02,77.10166666666667
2015-09-14,2.535555555555556,2.471,1.03,76.01958333333333
2015-09-21,,2.425,1.02,76.75083333333335
2015-09-28,,2.418,1.03,75.19958333333334
2015-10-05,,2.415,1.02,66.38119999999999
2015-10-12,,2.432,1.0,79.44833333333334
2015-10-19,,2.374,0.99,70.07208333333334
2015-10-26,,2.326,1.04,70.66083333333333
2015-11-02,,2.322,0.97,67.98708333333333
2015-11-09,,2.335,0.97,62.334166666666654
2015-11-16,,2.281,0.92,60.5612
2015-11-23,,2.198,0.96,65.88375
2015-11-30,,2.165,0.99,55.915000000000006
2015-12-07,,2.1590000000000003,0.89,61.87791666666666
2015-12-14,,2.144,0.93,58.49958333333333
2015-12-21,,2.133,0.98,53.61125000000001
2015-12-28,,2.141,0.95,49.62874999999999
2016-01-04,,2.135,0.86,57.93500000000001
2016-01-11,,2.104,0.93,56.45166666666666
2016-01-18,,2.022,0.94,59.05666666666667
2016-01-25,,1.965,0.95,55.60625000000001
2016-02-01,,1.932,0.93,55.12208333333334
2016-02-08,,1.87,0.76,65.30083333333333
2016-02-15,,1.834,0.88,66.25791666666666
2016-02-22,,1.837,0.94,59.82333333333333
2016-02-29,,1.8869999999999998,0.91,60.85458333333335
2016-03-07,,1.943,0.95,57.44958333333333
2016-03-14,,2.062,0.93,61.35874999999999
2016-03-21,,2.109,0.93,61.58666666666667
2016-03-28,,2.169,0.94,61.08041666666666
2016-04-04,,2.185,0.94,62.09041666666666
2016-04-11,,2.173,0.9,61.81291666666666
2016-04-18,,2.24,0.9,71.85624999999997
2016-04-25,,2.265,0.87,61.15458333333334
2016-05-02,,2.342,0.84,62.695
2016-05-09,2.442222222222222,2.325,0.82,64.13458333333334
2016-05-16,2.464444444444444,2.345,0.89,63.50125000000001
2016-05-23,2.4944444444444445,2.403,0.93,62.07375
2016-05-30,2.562222222222222,2.44,0.94,64.598
2016-06-06,2.612222222222222,2.4819999999999998,0.97,66.025
2016-06-13,2.626666666666667,2.499,1.04,64.91416666666667
2016-06-20,2.6100000000000003,2.455,1.02,77.47166666666666
2016-06-27,2.64,2.432,1.04,70.47791666666666
2016-07-04,2.64,2.396,1.06,68.18583333333333
2016-07-11,2.57,2.359,1.1,69.06125000000002
2016-07-18,2.5628571428571427,2.336,1.15,68.88624999999999
2016-07-25,2.4457142857142857,2.289,1.2,72.80250000000002
2016-08-01,2.4571428571428577,2.267,1.23,73.27208333333333
2016-08-08,,2.256,1.15,70.14583333333334
2016-08-15,2.3957142857142855,2.256,1.12,76.33499999999998
2016-08-22,2.38,2.299,1.1,71.14583333333334
2016-08-29,2.3714285714285714,2.3409999999999997,1.09,71.34583333333333
2016-09-05,2.3842857142857143,2.329,1.04,67.92833333333333
2016-09-12,2.3842857142857143,2.31,1.08,67.9425
2016-09-19,2.3842857142857143,2.333,1.15,69.57461538461538
2016-09-26,2.3957142857142855,2.334,1.22,81.12583333333335
2016-10-03,2.3957142857142855,2.354,1.23,66.82458333333332
2016-10-10,2.3957142857142855,2.381,1.27,71.47833333333334
2016-10-17,2.298571428571428,2.367,1.3,67.90500000000002
2016-10-24,,2.353,1.34,69.09125
2016-10-31,,2.3409999999999997,1.43,65.67666666666666
2016-11-07,,2.345,1.44,64.29375
2016-11-14,,2.298,1.36,70.74333333333333
2016-11-21,,2.269,1.27,61.539230769230784
2016-11-28,,2.2680000000000002,1.21,58.33208333333335
2016-12-05,,2.3209999999999997,1.0,56.98
2016-12-12,,2.347,0.98,61.83500000000001
2016-12-19,,2.375,0.96,53.129583333333336
2016-12-26,,2.419,1.0,51.73083333333333
2017-01-02,,2.485,0.89,55.01041666666666
2017-01-09,,2.496,0.99,60.69583333333333
2017-01-16,,2.467,0.98,56.35083333333333
2017-01-23,,2.436,0.94,56.88400000000001
2017-01-30,,2.408,0.96,61.64958333333332
2017-02-06,,2.405,0.77,57.36559999999999
2017-02-13,,2.418,0.87,58.90625
2017-02-20,2.1542857142857144,2.414,0.99,57.78666666666667
2017-02-27,2.1442857142857146,2.427,0.99,55.742432432432445
2017-03-06,2.1714285714285717,2.452,1.13,54.54583333333334
2017-03-13,2.1714285714285713,2.434,1.22,59.87458333333334
2017-03-20,2.1714285714285713,2.4330000000000003,1.25,60.49708333333334
2017-03-27,2.2142857142857144,2.428,1.24,60.85291666666666
2017-04-03,2.2385714285714284,2.471,1.21,60.57666666666668
2017-04-10,2.2914285714285714,2.5340000000000003,1.21,60.82583333333334
2017-04-17,2.4285714285714284,2.546,1.23,63.00666666666667
2017-04-24,2.3900000000000006,2.559,1.18,63.11625000000001
2017-05-01,2.4442857142857144,2.522,1.18,66.98375
2017-05-08,2.4771428571428573,2.484,1.09,57.17320000000001
2017-05-15,2.472857142857143,2.481,1.19,60.04541666666666
2017-05-22,2.7014285714285715,2.51,1.26,66.70333333333333
2017-05-29,2.782857142857143,2.516,1.28,62.87833333333334
2017-06-05,2.802857142857143,2.525,1.24,62.72041666666666
2017-06-12,2.802857142857143,2.479,1.21,63.10875000000001
2017-06-19,2.8028571428571425,2.4330000000000003,1.18,69.95208333333333
2017-06-26,2.755714285714286,2.404,1.17,71.53666666666669
2017-07-03,,2.376,1.21,68.62875000000001
2017-07-10,2.7414285714285715,2.411,1.17,74.44083333333333
2017-07-17,2.7414285714285715,2.392,1.33,71.99374999999998
2017-07-24,2.538571428571428,2.426,1.31,71.55791666666666
2017-07-31,2.544285714285714,2.467,1.32,72.45041666666664
2017-08-07,2.5157142857142856,2.492,1.33,73.7275
2017-08-14,2.4957142857142856,2.497,1.33,69.26041666666666
2017-08-21,2.45,2.474,1.41,71.73833333333334
2017-08-28,2.45,2.513,1.47,73.0475
2017-09-04,2.468571428571429,2.7939999999999996,1.57,73.5348
2017-09-11,2.4714285714285715,2.8,1.56,75.705
2017-09-18,2.5285714285714285,2.75,1.57,71.09833333333334
2017-09-25,2.5357142857142856,2.701,1.62,70.88208333333334
2017-10-02,2.5357142857142856,2.682,1.64,69.23791666666666
2017-10-09,2.617142857142857,2.622,1.65,69.31041666666668
2017-10-16,2.5537499999999995,2.605,1.58,75.87166666666666
2017-10-23,2.525,2.594,1.44,77.11666666666669
2017-10-30,2.5475,2.602,1.29,65.32375
2017-11-06,2.5949999999999998,2.673,1.19,63.83166666666666
2017-11-13,2.6675000000000004,2.7060000000000004,1.15,63.63291666666669
2017-11-20,2.6675000000000004,2.6830000000000003,1.17,61.57875000000001
2017-11-27,2.6849999999999996,2.648,1.24,62.12958333333335
2017-12-04,2.69125,2.617,1.09,58.97708333333333
2017-12-11,2.69125,2.6010000000000004,1.03,66.47916666666667
2017-12-18,2.6799999999999997,2.568,1.07,58.68125
2017-12-25,2.6799999999999997,2.589,1.18,55.33291666666666
2018-01-01,3.1487499999999997,2.637,0.98,56.97291666666666
2018-01-08,3.2074999999999996,2.639,1.13,63.86416666666667
2018-01-15,3.17375,2.673,1.2,61.36750000000001
2018-01-22,3.0725,2.6839999999999997,1.08,54.856666666666676
2018-01-29,2.9225,2.7230000000000003,1.09,66.44249999999998
2018-02-05,2.7477777777777774,2.753,0.87,59.53375
2018-02-12,2.663333333333333,2.7239999999999998,0.97,60.91916666666666
2018-02-19,2.581111111111111,2.676,1.08,58.03541666666666
2018-02-26,2.565555555555555,2.6660000000000004,1.06,55.39791666666667
2018-03-05,2.541111111111111,2.679,1.07,56.075416666666676
2018-03-12,2.533333333333333,2.677,1.09,62.26708333333333
2018-03-19,2.565555555555555,2.716,1.05,56.55125
2018-03-26,2.5822222222222218,2.764,1.03,55.59625
2018-04-02,2.651111111111111,2.8169999999999997,,59.48708333333333
2018-04-09,2.7622222222222224,2.8110000000000004,,64.39
2018-04-16,2.854444444444445,2.863,,61.50625
2018-04-23,2.945555555555556,2.9139999999999997,,61.51500000000001
2018-04-30,2.977777777777778,2.9610000000000003,,59.90041666666665
2018-05-07,2.9755555555555553,2.96,,62.67583333333334
2018-05-14,2.9755555555555553,2.949,,62.70791666666667
2018-05-21,3.0355555555555553,2.9989999999999997,,60.86083333333334
2018-05-28,3.081111111111111,3.0389999999999997,,64.09249999999999
2018-06-04,3.5,3.0180000000000002,,65.09208333333333
2018-06-11,3.445555555555556,2.989,,66.79166666666667
2018-06-18,3.3477777777777775,2.958,,66.27416666666669
2018-06-25,3.236666666666667,2.9130000000000003,,66.33125
2018-07-02,3.215555555555555,2.924,,68.35041666666667
2018-07-09,3.1188888888888893,2.937,,76.93291666666667
2018-07-16,3.1188888888888893,2.943,,70.27583333333334
2018-07-23,3.0444444444444443,2.911,,76.68875
2018-07-30,3.014444444444445,2.924,,76.92875000000002
2018-08-06,2.8777777777777778,2.93,,76.11750000000002
2018-08-13,2.8744444444444444,2.9210000000000003,,75.58833333333331
2018-08-20,2.8744444444444444,2.9,,74.16125
2018-08-27,2.8744444444444444,2.906,,72.25916666666667
2018-09-03,2.8744444444444444,2.903,,71.36041666666667
2018-09-10,2.8711111111111105,2.912,,69.90833333333333
2018-09-17,2.851111111111111,2.9210000000000003,,71.55333333333334
2018-09-24,2.851111111111111,2.923,,66.93541666666665
2018-10-01,2.851111111111111,2.947,,74.35875
2018-10-08,2.79,2.984,,65.81583333333333
2018-10-15,2.761111111111111,2.9610000000000003,,67.9225
2018-10-22,2.691111111111111,2.925,,65.39333333333333
2018-10-29,2.698888888888889,2.8960000000000004,,65.1675
2018-11-05,2.755555555555556,2.84,,63.88083333333333
2018-11-12,3.286666666666667,2.773,,62.52291666666667
2018-11-19,3.391111111111111,2.7,,60.82125
2018-11-26,3.0066666666666664,2.63,,63.5925
